Array count,Array size,Sorter,Time
40,176,openmp sorting network,3393600
40,176,sequential sorting network,3384300
40,176,std::sort,1326200
50,176,own sorting network,10775400800
50,176,openmp sorting network,5017500
50,176,sequential sorting network,5032900
50,176,std::sort,1977400
60,176,own sorting network,15026423600
60,176,openmp sorting network,7008300
60,176,sequential sorting network,7032300
60,176,std::sort,2762600
70,176,own sorting network,20243656200
70,176,openmp sorting network,9279000
70,176,sequential sorting network,9338900
70,176,std::sort,3672100
80,176,own sorting network,26158118900
80,176,openmp sorting network,12038200
80,176,sequential sorting network,11978700
80,176,std::sort,4744700
90,176,own sorting network,32797942300
90,176,openmp sorting network,14972000
90,176,sequential sorting network,14966000
90,176,std::sort,5915700
100,176,own sorting network,40068563000
100,176,openmp sorting network,18298900
100,176,sequential sorting network,18278700
100,176,std::sort,7212000
10,184,own sorting network,768696000
10,184,openmp sorting network,429600
10,184,sequential sorting network,350800
10,184,std::sort,139100
20,184,own sorting network,2262549600
20,184,openmp sorting network,1192400
20,184,sequential sorting network,1133800
20,184,std::sort,457000
30,184,own sorting network,4637712800
30,184,openmp sorting network,2211700
30,184,sequential sorting network,2235600
30,184,std::sort,867700
40,184,own sorting network,7640722000
40,184,openmp sorting network,3564300
40,184,sequential sorting network,3620900
40,184,std::sort,1404500
50,184,own sorting network,11581108500
50,184,openmp sorting network,5350000
50,184,sequential sorting network,5796400
50,184,std::sort,2149200
60,184,own sorting network,15956183500
60,184,openmp sorting network,7412400
60,184,sequential sorting network,8107200
60,184,std::sort,2976600
70,184,own sorting network,21126121800
70,184,openmp sorting network,9818400
70,184,sequential sorting network,10551400
70,184,std::sort,3933200
80,184,own sorting network,27143405300
80,184,openmp sorting network,12513500
80,184,sequential sorting network,13255400
80,184,std::sort,4998600
90,184,own sorting network,33721184900
90,184,openmp sorting network,15460800
90,184,sequential sorting network,16247900
90,184,std::sort,6172400
100,184,own sorting network,40980760500
100,184,openmp sorting network,18880100
100,184,sequential sorting network,19653600
100,184,std::sort,7532400
10,192,own sorting network,768654600
10,192,openmp sorting network,355800
10,192,sequential sorting network,389100
10,192,std::sort,140900
20,192,own sorting network,2289517700
20,192,openmp sorting network,1084800
20,192,sequential sorting network,1121800
20,192,std::sort,429300
30,192,own sorting network,4727581000
30,192,openmp sorting network,2132600
30,192,sequential sorting network,2175100
30,192,std::sort,847700
40,192,own sorting network,7681549200
40,192,openmp sorting network,3617700
40,192,sequential sorting network,3600000
40,192,std::sort,1420700
50,192,own sorting network,11335199600
50,192,openmp sorting network,5320000
50,192,sequential sorting network,5377500
50,192,std::sort,2113600
60,192,own sorting network,15696229300
60,192,openmp sorting network,7370500
60,192,sequential sorting network,7439800
60,192,std::sort,2942100
70,192,own sorting network,21034850900
70,192,openmp sorting network,10129800
70,192,sequential sorting network,10401100
70,192,std::sort,4044500
80,192,own sorting network,27293102900
80,192,openmp sorting network,13019900
80,192,sequential sorting network,13385600
80,192,std::sort,5200700
