Array count,Array size,Sorter,Time
10,184,std::sort,139600
20,184,own sorting network,2154992200
20,184,openmp sorting network,1011100
20,184,sequential sorting network,1021500
20,184,std::sort,407800
30,184,own sorting network,4286393400
30,184,openmp sorting network,2043200
30,184,sequential sorting network,2054000
30,184,std::sort,854000
40,184,own sorting network,7140139800
40,184,openmp sorting network,3525200
40,184,sequential sorting network,3425700
40,184,std::sort,1404500
50,184,own sorting network,10696200100
50,184,openmp sorting network,5201800
50,184,sequential sorting network,5109600
50,184,std::sort,2076900
60,184,own sorting network,14903178800
60,184,openmp sorting network,7184000
60,184,sequential sorting network,7131800
60,184,std::sort,2867200
70,184,own sorting network,19869781900
70,184,openmp sorting network,9597000
70,184,sequential sorting network,9512500
70,184,std::sort,3903300
80,184,own sorting network,25480901200
80,184,openmp sorting network,12184700
80,184,sequential sorting network,12133200
80,184,std::sort,4951200
90,184,own sorting network,31803748400
90,184,openmp sorting network,15086100
90,184,sequential sorting network,15103700
90,184,std::sort,6142600
100,184,own sorting network,38802483500
100,184,openmp sorting network,18461000
100,184,sequential sorting network,18464400
100,184,std::sort,7493400
10,192,own sorting network,698076700
10,192,openmp sorting network,355800
10,192,sequential sorting network,342600
10,192,std::sort,137700
20,192,own sorting network,2144464800
20,192,openmp sorting network,1044900
20,192,sequential sorting network,1034100
20,192,std::sort,411700
30,192,own sorting network,4320118600
30,192,openmp sorting network,2083600
30,192,sequential sorting network,2053900
30,192,std::sort,826000
40,192,own sorting network,7216091600
40,192,openmp sorting network,3452500
40,192,sequential sorting network,3425300
40,192,std::sort,1372700
50,192,own sorting network,10828625200
50,192,openmp sorting network,5155500
50,192,sequential sorting network,5167600
50,192,std::sort,2062200
60,192,own sorting network,15119632700
60,192,openmp sorting network,7149500
60,192,sequential sorting network,7160200
60,192,std::sort,2879000
70,192,own sorting network,20141319000
70,192,openmp sorting network,9550900
70,192,sequential sorting network,9520800
70,192,std::sort,3840000
80,192,own sorting network,25896707800
80,192,openmp sorting network,12336300
80,192,sequential sorting network,12312400
80,192,std::sort,4942900
